workshop_id|bucket|asset_type|title|source_path|status|notes|validation_issues
10|Handouts|pdf|2. Individual Development Account Fact Sheet|Parts/Teaching Materials/Workshop 10/Handouts/2. Individual Development Account Fact Sheet.pdf|ok||
10|Handouts|docx|3. IDA Basics & Resources|Parts/Teaching Materials/Workshop 10/Handouts/3. IDA Basics & Resources.docx|ok||
10|Handouts|pdf|3. IDA Basics & Resources|Parts/Teaching Materials/Workshop 10/Handouts/3. IDA Basics & Resources.pdf|ok||
10|Handouts|pdf|Individual Development Accounts FAQs|Parts/Teaching Materials/Workshop 10/Handouts/Individual Development Accounts FAQs.pdf|ok||
10|Handouts|pdf|Savings Tips|Parts/Teaching Materials/Workshop 10/Handouts/Savings Tips.pdf|ok||
10|Handouts|docx|Workshop 10 Worksheets|Parts/Teaching Materials/Workshop 10/Handouts/Workshop 10 Worksheets.docx|ok||
10|Handouts|pdf|Workshop 10 Worksheets|Parts/Teaching Materials/Workshop 10/Handouts/Workshop 10 Worksheets.pdf|ok||
10|Core_Resources|pptx|Money Basics PPT Workshop 10|Parts/Teaching Materials/Workshop 10/Money Basics PPT Workshop 10.pptx|ok||
10|Additional_Resources|pdf|1. ABLE Accounts|Parts/Teaching Materials/Workshop 10/Resources/1. ABLE Accounts.pdf|ok||
10|Additional_Resources|docx|2. Asset Building For Low Income Families|Parts/Teaching Materials/Workshop 10/Resources/2. Asset Building For Low-Income Families.docx|ok||
10|Additional_Resources|pdf|2. Asset Building For Low Income Families|Parts/Teaching Materials/Workshop 10/Resources/2. Asset Building For Low-Income Families.pdf|ok||
10|Additional_Resources|docx|3. 23 Easy Ways To Save Money|Parts/Teaching Materials/Workshop 10/Resources/3. 23 Easy Ways To Save Money.docx|ok||
10|Additional_Resources|pdf|3. 23 Easy Ways To Save Money|Parts/Teaching Materials/Workshop 10/Resources/3. 23 Easy Ways To Save Money.pdf|ok||
10|Additional_Resources|docx|4. How to Save Money On A Low Income|Parts/Teaching Materials/Workshop 10/Resources/4. How to Save Money On A Low Income.docx|ok||
10|Additional_Resources|pdf|4. How to Save Money On A Low Income|Parts/Teaching Materials/Workshop 10/Resources/4. How to Save Money On A Low Income.pdf|ok||
10|Additional_Resources|docx|5. A Beginner s Guide to Saving Money|Parts/Teaching Materials/Workshop 10/Resources/5. A Beginner_s Guide to Saving Money.docx|ok||
10|Additional_Resources|pdf|5. A Beginner s Guide to Saving Money|Parts/Teaching Materials/Workshop 10/Resources/5. A Beginner_s Guide to Saving Money.pdf|ok||
10|Additional_Resources|docx|Workshop 10 Additional Resources|Parts/Teaching Materials/Workshop 10/Resources/Workshop 10 Additional Resources.docx|ok||
10|Additional_Resources|pdf|Workshop 10 Additional Resources|Parts/Teaching Materials/Workshop 10/Resources/Workshop 10 Additional Resources.pdf|ok||
11|Core_Resources|pptx|Money Basics PPT Workshop 11|Parts/Teaching Materials/Workshop 11/Money Basics PPT Workshop 11.pptx|ok||
02|Handouts|pdf|1. What is Person Directed Planning|Parts/Teaching Materials/Workshop 2/Handouts/1. What is Person-Directed Planning.pdf|ok||
02|Handouts|docx|Workshop 2 Worksheets|Parts/Teaching Materials/Workshop 2/Handouts/Workshop 2 Worksheets.docx|ok||
02|Handouts|pdf|Workshop 2 Worksheets|Parts/Teaching Materials/Workshop 2/Handouts/Workshop 2 Worksheets.pdf|ok||
02|Core_Resources|pptx|Money Basics PPT Workshop 2|Parts/Teaching Materials/Workshop 2/Money Basics PPT Workshop 2.pptx|ok||
02|Additional_Resources|docx|1. Person Centered Planning|Parts/Teaching Materials/Workshop 2/Resources/1. Person-Centered Planning.docx|ok||
02|Additional_Resources|pdf|1. Person Centered Planning|Parts/Teaching Materials/Workshop 2/Resources/1. Person-Centered Planning.pdf|ok||
02|Additional_Resources|pdf|2. Person Centered Planning Tools|Parts/Teaching Materials/Workshop 2/Resources/2. Person-Centered Planning Tools.pdf|ok||
02|Additional_Resources|docx|Workshop 2 Additional Resources|Parts/Teaching Materials/Workshop 2/Resources/Workshop 2 Additional Resources.docx|ok||
02|Additional_Resources|pdf|Workshop 2 Additional Resources|Parts/Teaching Materials/Workshop 2/Resources/Workshop 2 Additional Resources.pdf|ok||
03|Handouts|docx|1. Budgeting Apps|Parts/Teaching Materials/Workshop 3/Handouts/1. Budgeting Apps.docx|ok||
03|Handouts|pdf|1. Budgeting Apps|Parts/Teaching Materials/Workshop 3/Handouts/1. Budgeting Apps.pdf|ok||
03|Handouts|pdf|2. Budgeting Tips|Parts/Teaching Materials/Workshop 3/Handouts/2. Budgeting Tips.pdf|ok||
03|Handouts|docx|3. Money Saving Resources Handout|Parts/Teaching Materials/Workshop 3/Handouts/3. Money Saving Resources Handout.docx|ok||
03|Handouts|pdf|3. Money Saving Resources Handout|Parts/Teaching Materials/Workshop 3/Handouts/3. Money Saving Resources Handout.pdf|ok||
03|Handouts|pdf|Budget Worksheet 1|Parts/Teaching Materials/Workshop 3/Handouts/Budget Worksheet 1.pdf|ok||
03|Handouts|pdf|Budget Worksheet 2|Parts/Teaching Materials/Workshop 3/Handouts/Budget Worksheet 2.pdf|ok||
03|Handouts|pdf|Budget Worksheet 3|Parts/Teaching Materials/Workshop 3/Handouts/Budget Worksheet 3.pdf|ok||
03|Handouts|pdf|Budget Worksheet 4 Income & Expenses|Parts/Teaching Materials/Workshop 3/Handouts/Budget Worksheet 4_ Income & Expenses.pdf|ok||
03|Handouts|pdf|Fact Sheet Benefits Counseling|Parts/Teaching Materials/Workshop 3/Handouts/Fact-Sheet-Benefits-Counseling.pdf|ok||
