source,dest,workshop,category,page_role,resource_role,result,source_type
main/rebuild/content/legacy/whole/Module 10/How to Save Money On A Low Income.docx,main/rebuild/content/workshops/workshop-10/resources/How to Save Money On A Low Income.docx,workshop-10,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Workshop 10 - Savings Accounts & Goals.pdf,main/rebuild/content/workshops/workshop-10/resources/Workshop 10 - Savings Accounts & Goals.pdf,workshop-10,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Asset Building For Low-Income Families.docx,main/rebuild/content/workshops/workshop-10/resources/Asset Building For Low-Income Families.docx,workshop-10,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/IDA Basics & Resources.docx,main/rebuild/content/workshops/workshop-10/resources/IDA Basics & Resources.docx,workshop-10,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Workshop 10 - Savings Accounts & Savings Goals.pdf,main/rebuild/content/workshops/workshop-10/resources/Workshop 10 - Savings Accounts & Savings Goals.pdf,workshop-10,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Visuals/money trees.png,main/rebuild/content/workshops/workshop-10/resources/Visuals/money trees.png,workshop-10,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Visuals/Screenshot 2025-10-29 at 2.03.55 PM.png,main/rebuild/content/workshops/workshop-10/resources/Visuals/Screenshot 2025-10-29 at 2.03.55 PM.png,workshop-10,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Visuals/Screenshot 2025-10-29 at 10.26.47 AM.png,main/rebuild/content/workshops/workshop-10/resources/Visuals/Screenshot 2025-10-29 at 10.26.47 AM.png,workshop-10,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Visuals/Savings Activity_Jars.png,main/rebuild/content/workshops/workshop-10/activities/Visuals/Savings Activity_Jars.png,workshop-10,activities,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Visuals/IDAs.png,main/rebuild/content/workshops/workshop-10/resources/Visuals/IDAs.png,workshop-10,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Visuals/Budgeting Table.png,main/rebuild/content/workshops/workshop-10/resources/Visuals/Budgeting Table.png,workshop-10,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/HO PNGs/3. IDA Basics & Resources.png,main/rebuild/content/workshops/workshop-10/resources/HO PNGs/3. IDA Basics & Resources.png,workshop-10,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Sections ( PDF )/Savings_Accounts.pdf,main/rebuild/content/workshops/workshop-10/resources/Sections ( PDF )/Savings_Accounts.pdf,workshop-10,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg10.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg10.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg1.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg1.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg8.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg8.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg2.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg2.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg4.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg4.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg12.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg12.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg13.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg13.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg11.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg11.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg7.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg7.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg6.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg6.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg14.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg14.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg9.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg9.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg5.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg5.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg3.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg3.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg5.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg5.png,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg1.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg1.png,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg9.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg9.png,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg2.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg2.png,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg4.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg4.png,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg7.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg7.png,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg12.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg12.png,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg8.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg8.png,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg11.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg11.png,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg6.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg6.png,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg3.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg3.png,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg13.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg13.png,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg10.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg10.png,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg14.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg14.png,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/Sections/PDF/Different_Kinds_of_Savings_Accounts_Student.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/Sections/PDF/Different_Kinds_of_Savings_Accounts_Student.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/Sections/PDF/Asset_Building_Student.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/Sections/PDF/Asset_Building_Student.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/Sections/PDF/Creating_a_Savings_Plan_Student.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/Sections/PDF/Creating_a_Savings_Plan_Student.pdf,workshop-10,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Facilitator Guide/Sections/Saving Money w: Limited Resources.pdf,main/rebuild/content/workshops/workshop-10/Facilitator_Guide/Sections/Saving Money w - Limited Resources.pdf,workshop-10,Facilitator_Guide,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Facilitator Guide/Sections/Retirement_Plans_and_Investments_Facilitator.pdf,main/rebuild/content/workshops/workshop-10/Facilitator_Guide/Sections/Retirement_Plans_and_Investments_Facilitator.pdf,workshop-10,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Facilitator Guide/Sections/Individual_Development_Accounts_Facilitator.pdf,main/rebuild/content/workshops/workshop-10/Facilitator_Guide/Sections/Individual_Development_Accounts_Facilitator.pdf,workshop-10,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Facilitator Guide/Sections/Asset_Building_Facilitator.pdf,main/rebuild/content/workshops/workshop-10/Facilitator_Guide/Sections/Asset_Building_Facilitator.pdf,workshop-10,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Facilitator Guide/Sections/Savings_Goals_Facilitator.pdf,main/rebuild/content/workshops/workshop-10/Facilitator_Guide/Sections/Savings_Goals_Facilitator.pdf,workshop-10,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Facilitator Guide/Sections/Savings_Accounts_Facilitator.pdf,main/rebuild/content/workshops/workshop-10/Facilitator_Guide/Sections/Savings_Accounts_Facilitator.pdf,workshop-10,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 11/Workshop 11 - Course Graduation.pdf,main/rebuild/content/workshops/workshop-11/resources/Workshop 11 - Course Graduation.pdf,workshop-11,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 2/Person-Centered Planning.docx,main/rebuild/content/workshops/workshop-02/resources/Person-Centered Planning.docx,workshop-02,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 2/Module 2 Additional Resources.docx,main/rebuild/content/workshops/workshop-02/resources/Module 2 Additional Resources.docx,workshop-02,resources,,additional_resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 2/Workshop 02 - Setting Financial Goals.pdf,main/rebuild/content/workshops/workshop-02/resources/Workshop 02 - Setting Financial Goals.pdf,workshop-02,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 2/MB_FTS_ 2.docx,main/rebuild/content/workshops/workshop-02/resources/MB_FTS_ 2.docx,workshop-02,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 3/5 No-brainer Money-Saving Tips.docx,main/rebuild/content/workshops/workshop-03/resources/5 No-brainer Money-Saving Tips.docx,workshop-03,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 3/How to Buy a House with Low Income.docx,main/rebuild/content/workshops/workshop-03/resources/How to Buy a House with Low Income.docx,workshop-03,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 3/Workshop 03 - Creating a Budget.pdf,main/rebuild/content/workshops/workshop-03/resources/Workshop 03 - Creating a Budget.pdf,workshop-03,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 3/MB Money Saving Resources Handout.docx,main/rebuild/content/workshops/workshop-03/resources/MB Money Saving Resources Handout.docx,workshop-03,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 3/10 Easy Ways to Save Money.docx,main/rebuild/content/workshops/workshop-03/resources/10 Easy Ways to Save Money.docx,workshop-03,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 3/What Makes for a Successful Budget.docx,main/rebuild/content/workshops/workshop-03/resources/What Makes for a Successful Budget.docx,workshop-03,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 3/How to Make a Budget.docx,main/rebuild/content/workshops/workshop-03/resources/How to Make a Budget.docx,workshop-03,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 3/11 Frugal Living Tips.docx,main/rebuild/content/workshops/workshop-03/resources/11 Frugal Living Tips.docx,workshop-03,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 3/Budgeting Apps.docx,main/rebuild/content/workshops/workshop-03/resources/Budgeting Apps.docx,workshop-03,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 3/MB_FTS_ 3.docx,main/rebuild/content/workshops/workshop-03/resources/MB_FTS_ 3.docx,workshop-03,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 3/How To File For Social Security Disability Benefits If Homeless.docx,main/rebuild/content/workshops/workshop-03/resources/How To File For Social Security Disability Benefits If Homeless.docx,workshop-03,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 3/Module 3 Additional Resources.docx,main/rebuild/content/workshops/workshop-03/resources/Module 3 Additional Resources.docx,workshop-03,resources,,additional_resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 3/Online Budgeting Tools.docx,main/rebuild/content/workshops/workshop-03/resources/Online Budgeting Tools.docx,workshop-03,resources,,,copied,whole_legacy
